Tool: MTI, Annotation: IL -6, Prediction: IL-6, levenshtein distance: 1, normalized lev: 0.25
Tool: MTI, Annotation: 11C-dihydrotetrabenazine, Prediction: dihydrotetrabenazine, levenshtein distance: 4, normalized lev: 0.2
Tool: MTI, Annotation: apolipoprotein A-I, Prediction: apolipoprotein, levenshtein distance: 4, normalized lev: 0.2857142857142857
Tool: MTI, Annotation: S-adenosylmethionine, Prediction: adenosylmethionine, levenshtein distance: 2, normalized lev: 0.1111111111111111
Tool: MTI, Annotation: brominated diphenyl ether, Prediction: brominated diphenyl, levenshtein distance: 6, normalized lev: 0.3157894736842105
Tool: MTI, Annotation: SLeX, Prediction: SLe(X, levenshtein distance: 1, normalized lev: 0.2
Tool: MTI, Annotation: E- selectins, Prediction: P-selectins, levenshtein distance: 2, normalized lev: 0.18181818181818182
Tool: MTI, Annotation: d-Asp, Prediction: l-Asp, levenshtein distance: 1, normalized lev: 0.2
Tool: MTI, Annotation: cholesterol, Prediction: HDL cholesterol, levenshtein distance: 4, normalized lev: 0.26666666666666666
Tool: MTI, Annotation: glucagon-like peptide-1, Prediction: glucagon-like peptide-1 receptor, levenshtein distance: 9, normalized lev: 0.28125
Tool: MTI, Annotation: serum follicle-stimulating hormone, Prediction: follicle-stimulating hormone, levenshtein distance: 6, normalized lev: 0.21428571428571427
Tool: MTI, Annotation: d-β-hydroxybutyrate, Prediction: beta-hydroxybutyrate, levenshtein distance: 4, normalized lev: 0.2
Tool: MTI, Annotation: cholesterol, Prediction: HDL-cholesterol, levenshtein distance: 4, normalized lev: 0.26666666666666666
Tool: MTI, Annotation: nuclear factor-κB, Prediction: nuclear factor-kappaB, levenshtein distance: 5, normalized lev: 0.23809523809523808
Tool: MTI, Annotation: interleukin-1β, Prediction: interleukin-1beta, levenshtein distance: 4, normalized lev: 0.23529411764705882
Tool: MTI, Annotation: transforming growth factor β type II receptor, Prediction: transforming growth factor beta type II receptor, levenshtein distance: 4, normalized lev: 0.08333333333333333
Tool: MTI, Annotation: hsa-mir-30d, Prediction: hsa-mir-363, levenshtein distance: 2, normalized lev: 0.18181818181818182
Tool: MTI, Annotation: hsa-mir-30d, Prediction: hsa-mir-484, levenshtein distance: 3, normalized lev: 0.2727272727272727
Tool: MTI, Annotation: β-sitosterol, Prediction: sitosterol, levenshtein distance: 2, normalized lev: 0.2
Tool: MTI, Annotation: anti-intercellular adhesion molecule 1, Prediction: intercellular adhesion molecule 1, levenshtein distance: 5, normalized lev: 0.15151515151515152
Tool: MTI, Annotation: interleukin-1β, Prediction: interleukin-1beta, levenshtein distance: 4, normalized lev: 0.23529411764705882
Tool: MTI, Annotation: β-lactoglobulin, Prediction: beta-lactoglobulin, levenshtein distance: 4, normalized lev: 0.2222222222222222
Tool: MTI, Annotation: β-methylamino-l-alanine, Prediction: beta-methylamino-l-alanine, levenshtein distance: 4, normalized lev: 0.15384615384615385
Tool: MTI, Annotation: PGE22, Prediction: PGE(2, levenshtein distance: 1, normalized lev: 0.2
Tool: MTI, Annotation: PGE22, Prediction: PGE2, levenshtein distance: 1, normalized lev: 0.25
Tool: MTI, Annotation: nuclear factor-κB, Prediction: nuclear factor-kappaB, levenshtein distance: 5, normalized lev: 0.23809523809523808
Tool: MTI, Annotation: NADPH quinone oxidoreductase-1, Prediction: quinone oxidoreductase-1, levenshtein distance: 6, normalized lev: 0.25
Tool: MTI, Annotation: lutamate, Prediction: glutamate, levenshtein distance: 1, normalized lev: 0.1111111111111111
Tool: MTI, Annotation: γ-cyclodextrin, Prediction: gamma-cyclodextrin, levenshtein distance: 5, normalized lev: 0.2777777777777778
Tool: MTI, Annotation: hepatocyte nuclear factor 1B, Prediction: hepatocyte nuclear factor, levenshtein distance: 3, normalized lev: 0.12
Tool: MTI, Annotation: tumour necrosis factor-α, Prediction: tumour necrosis factor-alpha, levenshtein distance: 5, normalized lev: 0.17857142857142858
